STATE	TOTALPAY
AK	2993521.8
AL	2.3329448E7
AR	1.4303066E7
AZ	2.5162168E7
CA	1.50162848E8
CO	1.5405251E7
CT	2.032033E7
DC	5457130.5
DE	3530110.2
FL	8.5530672E7
GA	3.8092532E7
HI	4847622.5
IA	1.2394853E7
ID	4662549.5
IL	6.6319188E7
IN	3.1857564E7
KS	1.1833975E7
KY	2.320107E7
LA	2.2362586E7
MA	3.550672E7
MD	3.822882E7
ME	6740366.0
MI	4.6940212E7
MN	1.9410488E7
MO	3.0804758E7
MS	1.7169268E7
MT	4038430.5
NC	4.0321224E7
ND	3693364.5
NE	8488168.0
NH	6686472.0
NJ	4.6266456E7
NM	7611205.5
NV	1.0514625E7
NY	9.7477224E7
OH	5.3719144E7
OK	1.8163424E7
OR	1.1736802E7
PA	6.1801308E7
RI	5478947.0
SC	2.2423932E7
SD	4199605.0
TN	2.895297E7
TX	9.456172E7
UT	5731288.5
VA	3.2658278E7
VT	2847682.2
WA	2.521451E7
WI	2.2679394E7
WV	1.0965456E7
WY	2356229.8
